service_id,date,exception_type
1,20230102,2
1,20230123,2
1,20230410,2
1,20230501,2
1,20231002,2
1,20231023,2
1,20231225,2
2,20230124,2
2,20231226,2
3,20230102,2
3,20230123,2
3,20230124,2
3,20230410,2
3,20230501,2
3,20231002,2
3,20231023,2
3,20231225,2
3,20231226,2
4,20230125,2
4,20230405,2
5,20230102,2
5,20230123,2
5,20230125,2
5,20230405,2
5,20230410,2
5,20230501,2
5,20231002,2
5,20231023,2
5,20231225,2
6,20230124,2
6,20230125,2
6,20230405,2
6,20231226,2
7,20230102,2
7,20230123,2
7,20230124,2
7,20230125,2
7,20230405,2
7,20230410,2
7,20230501,2
7,20231002,2
7,20231023,2
7,20231225,2
7,20231226,2
8,20230622,2
9,20230102,2
9,20230123,2
9,20230410,2
9,20230501,2
9,20230622,2
9,20231002,2
9,20231023,2
9,20231225,2
10,20230124,2
10,20230622,2
10,20231226,2
11,20230102,2
11,20230123,2
11,20230124,2
11,20230410,2
11,20230501,2
11,20230622,2
11,20231002,2
11,20231023,2
11,20231225,2
11,20231226,2
12,20230125,2
12,20230405,2
12,20230622,2
13,20230102,2
13,20230123,2
13,20230125,2
13,20230405,2
13,20230410,2
13,20230501,2
13,20230622,2
13,20231002,2
13,20231023,2
13,20231225,2
14,20230124,2
14,20230125,2
14,20230405,2
14,20230622,2
14,20231226,2
15,20230102,2
15,20230123,2
15,20230124,2
15,20230125,2
15,20230405,2
15,20230410,2
15,20230501,2
15,20230622,2
15,20231002,2
15,20231023,2
15,20231225,2
15,20231226,2
16,20230407,2
16,20230526,2
17,20230102,2
17,20230123,2
17,20230407,2
17,20230410,2
17,20230501,2
17,20230526,2
17,20231002,2
17,20231023,2
17,20231225,2
18,20230124,2
18,20230407,2
18,20230526,2
18,20231226,2
19,20230102,2
19,20230123,2
19,20230124,2
19,20230407,2
19,20230410,2
19,20230501,2
19,20230526,2
19,20231002,2
19,20231023,2
19,20231225,2
19,20231226,2
20,20230125,2
20,20230405,2
20,20230407,2
20,20230526,2
21,20230102,2
21,20230123,2
21,20230125,2
21,20230405,2
21,20230407,2
21,20230410,2
21,20230501,2
21,20230526,2
